network_filter	component_size	component_count
all_edges	2	1305
all_edges	3	450
all_edges	4	266
all_edges	5	182
all_edges	6	123
all_edges	7	155
all_edges	8	173
all_edges	9	78
all_edges	10	69
all_edges	11	82
all_edges	12	101
all_edges	13	49
all_edges	14	29
all_edges	15	24
all_edges	16	23
all_edges	17	10
all_edges	18	7
all_edges	19	7
all_edges	20	4
all_edges	21	2
all_edges	22	11
all_edges	23	5
all_edges	24	12
all_edges	25	5
all_edges	26	3
all_edges	28	3
all_edges	29	3
all_edges	30	6
all_edges	31	3
all_edges	32	4
all_edges	33	1
all_edges	34	2
all_edges	36	2
all_edges	37	1
all_edges	38	3
all_edges	40	4
all_edges	41	2
all_edges	42	5
all_edges	43	2
all_edges	44	1
all_edges	45	5
all_edges	46	8
all_edges	47	14
all_edges	48	5
all_edges	49	1
all_edges	50	1
all_edges	51	1
all_edges	52	2
all_edges	54	3
all_edges	55	1
all_edges	56	2
all_edges	57	2
all_edges	58	2
all_edges	59	4
all_edges	60	1
all_edges	61	1
all_edges	63	2
all_edges	69	1
all_edges	70	1
all_edges	71	1
all_edges	76	2
all_edges	79	1
all_edges	82	1
all_edges	85	1
all_edges	88	2
all_edges	91	1
all_edges	92	1
all_edges	127	1
all_edges	134	1
all_edges	175	1
all_edges	177	1
all_edges	22437	1
consensus_2plus	2	1458
consensus_2plus	3	505
consensus_2plus	4	291
consensus_2plus	5	216
consensus_2plus	6	145
consensus_2plus	7	193
consensus_2plus	8	193
consensus_2plus	9	101
consensus_2plus	10	75
consensus_2plus	11	138
consensus_2plus	12	117
consensus_2plus	13	64
consensus_2plus	14	33
consensus_2plus	15	33
consensus_2plus	16	31
consensus_2plus	17	15
consensus_2plus	18	10
consensus_2plus	19	5
consensus_2plus	20	14
consensus_2plus	21	6
consensus_2plus	22	13
consensus_2plus	23	6
consensus_2plus	24	11
consensus_2plus	25	5
consensus_2plus	26	2
consensus_2plus	27	1
consensus_2plus	28	3
consensus_2plus	29	3
consensus_2plus	30	7
consensus_2plus	31	5
consensus_2plus	32	5
consensus_2plus	33	3
consensus_2plus	34	4
consensus_2plus	36	3
consensus_2plus	38	4
consensus_2plus	39	3
consensus_2plus	40	7
consensus_2plus	41	5
consensus_2plus	42	4
consensus_2plus	43	3
consensus_2plus	44	3
consensus_2plus	45	5
consensus_2plus	46	10
consensus_2plus	47	22
consensus_2plus	48	7
consensus_2plus	49	1
consensus_2plus	52	1
consensus_2plus	53	2
consensus_2plus	54	5
consensus_2plus	55	6
consensus_2plus	56	4
consensus_2plus	57	5
consensus_2plus	58	3
consensus_2plus	59	4
consensus_2plus	60	1
consensus_2plus	61	3
consensus_2plus	62	1
consensus_2plus	63	2
consensus_2plus	65	1
consensus_2plus	69	1
consensus_2plus	70	1
consensus_2plus	71	1
consensus_2plus	72	1
consensus_2plus	74	2
consensus_2plus	75	1
consensus_2plus	76	1
consensus_2plus	79	1
consensus_2plus	80	2
consensus_2plus	83	1
consensus_2plus	84	1
consensus_2plus	88	1
consensus_2plus	91	2
consensus_2plus	92	1
consensus_2plus	98	1
consensus_2plus	99	1
consensus_2plus	105	1
consensus_2plus	107	1
consensus_2plus	116	1
consensus_2plus	117	1
consensus_2plus	118	2
consensus_2plus	125	2
consensus_2plus	130	1
consensus_2plus	144	1
consensus_2plus	175	1
consensus_2plus	177	1
consensus_2plus	225	1
consensus_2plus	281	1
consensus_2plus	306	1
consensus_2plus	322	1
consensus_2plus	13406	1
consensus_3tools	2	1573
consensus_3tools	3	539
consensus_3tools	4	313
consensus_3tools	5	225
consensus_3tools	6	167
consensus_3tools	7	218
consensus_3tools	8	216
consensus_3tools	9	110
consensus_3tools	10	90
consensus_3tools	11	167
consensus_3tools	12	127
consensus_3tools	13	74
consensus_3tools	14	33
consensus_3tools	15	32
consensus_3tools	16	33
consensus_3tools	17	21
consensus_3tools	18	8
consensus_3tools	19	7
consensus_3tools	20	14
consensus_3tools	21	8
consensus_3tools	22	12
consensus_3tools	23	9
consensus_3tools	24	11
consensus_3tools	25	7
consensus_3tools	26	4
consensus_3tools	27	3
consensus_3tools	28	6
consensus_3tools	29	8
consensus_3tools	30	5
consensus_3tools	31	5
consensus_3tools	32	7
consensus_3tools	33	2
consensus_3tools	34	3
consensus_3tools	35	3
consensus_3tools	36	4
consensus_3tools	37	4
consensus_3tools	38	2
consensus_3tools	39	3
consensus_3tools	40	5
consensus_3tools	41	4
consensus_3tools	42	6
consensus_3tools	43	2
consensus_3tools	44	6
consensus_3tools	45	8
consensus_3tools	46	8
consensus_3tools	47	26
consensus_3tools	48	5
consensus_3tools	49	2
consensus_3tools	50	2
consensus_3tools	51	1
consensus_3tools	52	1
consensus_3tools	54	3
consensus_3tools	55	10
consensus_3tools	56	4
consensus_3tools	57	6
consensus_3tools	58	6
consensus_3tools	59	2
consensus_3tools	60	2
consensus_3tools	62	2
consensus_3tools	63	1
consensus_3tools	65	2
consensus_3tools	68	2
consensus_3tools	70	1
consensus_3tools	71	1
consensus_3tools	72	1
consensus_3tools	73	1
consensus_3tools	74	2
consensus_3tools	75	2
consensus_3tools	76	1
consensus_3tools	79	2
consensus_3tools	83	1
consensus_3tools	84	2
consensus_3tools	88	1
consensus_3tools	90	1
consensus_3tools	91	3
consensus_3tools	92	3
consensus_3tools	95	2
consensus_3tools	98	1
consensus_3tools	105	1
consensus_3tools	108	2
consensus_3tools	112	1
consensus_3tools	113	2
consensus_3tools	115	1
consensus_3tools	117	1
consensus_3tools	120	1
consensus_3tools	124	2
consensus_3tools	131	1
consensus_3tools	132	1
consensus_3tools	141	1
consensus_3tools	145	1
consensus_3tools	150	1
consensus_3tools	156	1
consensus_3tools	163	1
consensus_3tools	182	1
consensus_3tools	242	1
consensus_3tools	276	1
consensus_3tools	277	1
consensus_3tools	298	1
consensus_3tools	367	1
consensus_3tools	379	1
consensus_3tools	399	1
consensus_3tools	428	1
consensus_3tools	6592	1
